condition_id,question,entry_time,yes_price,first_trade_notional,resolution_time,resolved_yes,n_trades
0x757fe19cced3f2136ef1dc0e0163b9996a68a330a8d2338835e3b81a31fcac91,[Single Market] Will Vivek Ramaswamy win the U.S. 2024 Republican presidential nomination?,2023-09-02T15:25:23+00:00,0.0909,3.0,2024-07-16T09:14:23+00:00,False,317
0x5b2439f6edb14137518549e6f2b5abdfbbaf73e1c0d531d930d3ab87dcdfb50b,Will Australia's Indigenous Voice referendum pass?,2023-09-02T17:14:06+00:00,0.3,10.0,2023-10-21T02:17:55+00:00,False,21
0x60f4b7a3614eca5ec00853f7ec8ad1c9c5e5aac74a3835f46bf0931ad8f9b1bc,Will Rubiales remain Spanish FA president through Sep 11?,2023-09-02T17:16:16+00:00,0.6,10.0,2023-09-10T23:17:11+00:00,False,33
0x41a09bfef86f1126b57d05692f11cae07716c5e28b88e7aa6d4fc640e2ed769b,Argentina Presidential Election: Will Javier Milei win?,2023-09-02T20:38:42+00:00,0.6827,330.79,2023-11-20T11:49:15+00:00,True,1037
0x2bc4fc51bc1b872c0cff09f6bae839ec815de70ad51fd95505023311230ae16f,"Will Joe Biden be President of the United States on October 1, 2023?",2023-09-02T23:05:59+00:00,0.987,113.505,2023-10-01T19:33:46+00:00,True,70
0xba3785ede0159068514d575c87632f4a6b2ea2ecfa30ce8220bcf5a997e81eea,"Will Joe Biden be President of the United States on December 1, 2023?",2023-09-02T23:06:41+00:00,0.963,197.415,2023-12-01T19:05:24+00:00,True,206
0x4596f86383e0a7c7da2310b0c2dcc4d9f9b3e8b7311b822a4f4e88e8aea32569,Ecuador Presidential Election: Will Luisa González win?,2023-09-03T01:17:06+00:00,0.5,4.385,2023-10-20T23:50:11+00:00,False,79
0x0f8087a333699c182f5cfb20fe7e59d08fd8405cf98b436cdc99c2dbdd3d412f,"Will Donald Trump be President of the USA on September 30, 2023?",2023-09-03T06:35:56+00:00,0.003,9075.1925,2023-09-30T20:20:39+00:00,False,24
0x26c77208c81a1453fcab3ac7c99ced140b85d258da9b3d4f53899fe4466af16f,Will Putin remain President of Russia through 2023?,2023-09-03T14:58:04+00:00,0.93,140.0,2024-01-01T07:23:07+00:00,True,367
0x76d3e19513ada358c876e409eeb3b6f6a247a4a3ef9e6eb27c437657eb52eac6,[Single Market] Will Kari Lake win the U.S. 2024 Republican vice presidential nomination?,2023-09-03T21:16:07+00:00,0.24,5.0,2024-07-16T02:51:27+00:00,False,5
0x41190eb9336ae73949c04f4900f9865092e69a57cf9c942a6157abf6ae8d16c6,[Single Market] Will Donald J. Trump win the U.S. 2024 Republican presidential nomination?,2023-09-04T13:18:10+00:00,0.69,3.5259,2024-07-18T00:10:37.491895+00:00,True,1354
0x1f116bd36976395aba4319abea038ed13b013a86c54a78d1198426b2175817cf,Argentina Presidential Election: Will Sergio Massa win?,2023-09-04T14:31:30+00:00,0.18,35.0,2023-11-20T08:49:08+00:00,False,427
0xa8b8858eed569ef39c4a84c0abee47b5cbf3c6835c1ebc602a5d3a1c33530b58,Argentina Presidential Election: Will Patricia Bullrich win?,2023-09-04T14:31:54+00:00,0.13,10.0,2023-11-20T06:19:37+00:00,False,103
0x12a0cb60174abc437bf1178367c72d11f069e1a3add20b148fb0ab4279b772b2,[Single Market] Will Ron DeSantis win the U.S. 2024 Republican presidential nomination?,2023-09-04T21:49:53+00:00,0.13,1.95,2024-07-18T00:10:37.491895+00:00,False,395
0xdaccdba23670d39feba6182d2e77c3a676dbb755f58fad6a3d958a32954dab86,[Single Market] Will Chris Christie win the 2024 Republican presidential nomination?,2023-09-06T01:22:40+00:00,0.04,100.0,2024-07-16T09:34:24+00:00,False,26
0x6898b869f0bb1f31d309897956fab3437a7e82408cb91d4bfc888dbf52e259a8,[Single Market] Will Donald Trump Jr. win the U.S. 2024 Republican presidential nomination?,2023-09-06T03:26:28+00:00,0.03,140.0,2024-07-18T00:10:37.491895+00:00,False,15
0x768603866bc5ce73836ccae47d72ee47cdd605d41320d3894ca41412f784d775,[Single Market] Will Nikki Haley win the U.S. 2024 Republican presidential nomination?,2023-09-07T08:17:38+00:00,0.07,25.8797,2024-07-18T00:10:37.491895+00:00,False,266
0x82b2a055c2c933680b8cab3d23810538a1e6a85a9d44021ca3468fbbee1de6e5,[Single Market] Will Kristi Noem win the U.S. 2024 Republican vice presidential nomination?,2023-09-09T00:11:28+00:00,0.2,3.0,2024-07-16T02:56:27+00:00,False,9
0x32f5ee4c802f311e1a991373ae06625a5f62ab2703173a9472d4a84b7ff7f408,Will Republican VP nominee be a woman?,2023-09-09T00:25:52+00:00,0.42,5.0,2024-07-16T08:49:20+00:00,False,398
0xd8e597a502a6caf948b375be5eba9aabed4b3336f6bcce303c2047bdf879193a,[Single Market] Will Vivek Ramaswamy win the U.S. 2024 Republican vice presidential nomination?,2023-09-09T03:33:17+00:00,0.2,0.2,2024-07-16T03:01:03+00:00,False,30
0x1f5e91cec5de2c58c8b51e5830819bbed6c0978dc05b964e4f432d7744977d2a,"Will Donald Trump be President of the USA on November 30, 2023?",2023-09-10T09:20:33+00:00,0.004,597.6,2023-12-01T02:35:14+00:00,False,56
0x7e912d337aec54d321a4d415bd05e5a6676c3f04617f07def1281be7e0af3e91,[Single Market] Will Joe Rogan win the U.S. 2024 Republican presidential nomination?,2023-09-10T21:08:52+00:00,0.013,1.0,2024-07-17T20:42:12.475369+00:00,False,22
0x65805e37d6c891808a44064013a0c80babf87010fe6e69204b17381fd0761fdd,[Single Market] Will Tim Scott win the 2024 Republican presidential nomination?,2023-09-11T20:09:31+00:00,0.03,0.8979,2024-07-16T09:19:49+00:00,False,22
0xf3b7a1ffbb8cf0f8b5c392bc8615e5d7d28781bbc2a2d1630041ed5a4bb2aa73,[Single Market] Will Mike Pence win the U.S. 2024 Republican presidential nomination?,2023-09-12T06:15:55+00:00,0.038,7.0,2024-07-17T20:42:12.475369+00:00,False,48
0x6278b751726e811669b0adc442c0530e8dd60c768ad2af77ca1094370211b07b,Will a Democrat win the Kentucky gubernatorial election?,2023-09-13T04:56:55+00:00,0.83,100.0,2023-11-08T07:02:33+00:00,True,215
0x3648ab7c146a9a85957e07c1d43a82272be71fde767822fd425e10ba0d6c0757,[Single Market] Will Glenn Youngkin win the 2024 Republican presidential nomination?,2023-09-14T17:40:29+00:00,0.04,5.0,2024-07-16T09:25:15+00:00,False,23
0x870a4ded505f5f8e4e6a4ef3e4c59cace79e634352bce99ff0855ecbb83200fa,Will Ron DeSantis endorse Trump for President in 2023?,2023-09-19T16:54:00+00:00,0.5,7.5,2024-01-01T07:47:03+00:00,False,18
0x47a9d6f5eafdc901c40d81c8d02446bf71b598415e8ff60763b1e87683b1af77,Will a candidate say something racist at the next Republican debate?,2023-09-19T18:27:22+00:00,0.23,100.0,2023-09-28T06:45:46+00:00,False,26
0x426cf619bab4d089ae92b1cf4ab28a3c86332b53b509e9aeb8b3753afdb168f1,[Single Market] Will Tim Scott win the U.S. 2024 Republican vice presidential nomination?,2023-09-21T11:05:51+00:00,0.1,78.255,2024-07-16T03:00:59+00:00,False,15
0x49c2bb91bcb33296f486c92a553c2fca81cfe79f4e9ba00cca68b5ca274e914f,[Single Market] Will Kanye West win the U.S. 2024 Republican presidential nomination?,2023-09-21T22:46:31+00:00,0.049,1.0,2024-07-17T20:42:12.475369+00:00,False,30
0xb8095d92d1606abbb3dda353ccf64baae1bf9199f221dfe1e1befa23483d290c,"Will Joe Biden be President of the United States on February 1, 2024?",2023-09-23T01:48:00+00:00,0.915,1.0,2024-02-01T19:02:08+00:00,True,168
0x285d6bd65077c23feedf4dfa795ab56b35f6e2ed07d53056144569cc908499de,Will Adam Schiff advance from the 2024 CA Senate Primary?,2023-09-26T10:29:13+00:00,0.71,0.03,2024-03-08T03:30:27+00:00,True,160
0xd93cb2d70e5e00e804ff2115f59aaed64cffe4af275264e9a629e1e4ad3dab80,[Single Market] Will Tucker Carlson win the U.S. 2024 Republican presidential nomination?,2023-09-26T23:52:09+00:00,0.023,97.7,2024-07-18T00:10:37.491895+00:00,False,37
